fecha,anio,mes,linea,afluencia
2005-09-28,2005,Septiembre,Línea 6,NaN
2005-09-28,2005,Septiembre,Línea 3,NaN
2005-09-28,2005,Septiembre,Línea 4,NaN
2005-09-28,2005,Septiembre,Línea 5,NaN
2005-09-28,2005,Septiembre,Línea 2,NaN
2005-09-29,2005,Septiembre,Línea 1,275304
2005-09-29,2005,Septiembre,Línea 6,NaN
2005-09-29,2005,Septiembre,Línea 7,NaN
2005-09-29,2005,Septiembre,Línea 2,NaN
2005-09-29,2005,Septiembre,Línea 4,NaN
2005-09-29,2005,Septiembre,Línea 5,NaN
2005-09-29,2005,Septiembre,Línea 3,NaN
2005-09-30,2005,Septiembre,Línea 5,NaN
2005-09-30,2005,Septiembre,Línea 6,NaN
2005-09-30,2005,Septiembre,Línea 3,NaN
2005-09-30,2005,Septiembre,Línea 7,NaN
2005-09-30,2005,Septiembre,Línea 2,NaN
2005-09-30,2005,Septiembre,Línea 1,273446
2005-09-30,2005,Septiembre,Línea 4,NaN
2005-10-01,2005,Octubre,Línea 1,153037
2005-10-01,2005,Octubre,Línea 4,NaN
2005-10-01,2005,Octubre,Línea 5,NaN
2005-10-01,2005,Octubre,Línea 2,NaN
2005-10-01,2005,Octubre,Línea 6,NaN
2005-10-01,2005,Octubre,Línea 7,NaN
2005-10-01,2005,Octubre,Línea 3,NaN
2005-10-02,2005,Octubre,Línea 7,NaN
2005-10-02,2005,Octubre,Línea 2,NaN
2005-10-02,2005,Octubre,Línea 6,NaN
2005-10-02,2005,Octubre,Línea 3,NaN
2005-10-02,2005,Octubre,Línea 4,NaN
2005-10-02,2005,Octubre,Línea 5,NaN
2005-10-02,2005,Octubre,Línea 1,139556
2005-10-03,2005,Octubre,Línea 1,233562
2005-10-03,2005,Octubre,Línea 4,NaN
2005-10-03,2005,Octubre,Línea 2,NaN
2005-10-03,2005,Octubre,Línea 5,NaN
2005-10-03,2005,Octubre,Línea 6,NaN
2005-10-03,2005,Octubre,Línea 7,NaN
2005-10-03,2005,Octubre,Línea 3,NaN
2005-10-04,2005,Octubre,Línea 7,NaN
2005-10-04,2005,Octubre,Línea 3,NaN
2005-10-04,2005,Octubre,Línea 1,246407
2005-10-04,2005,Octubre,Línea 5,NaN
2005-10-04,2005,Octubre,Línea 6,NaN
2005-10-04,2005,Octubre,Línea 2,NaN
2005-10-04,2005,Octubre,Línea 4,NaN
2005-10-05,2005,Octubre,Línea 7,NaN
2005-10-05,2005,Octubre,Línea 4,NaN
2005-10-05,2005,Octubre,Línea 3,NaN
2005-10-05,2005,Octubre,Línea 2,NaN
2005-10-05,2005,Octubre,Línea 5,NaN
2005-10-05,2005,Octubre,Línea 6,NaN
2005-10-05,2005,Octubre,Línea 1,246121
2005-10-06,2005,Octubre,Línea 4,NaN
2005-10-06,2005,Octubre,Línea 5,NaN
2005-10-06,2005,Octubre,Línea 6,NaN
2005-10-06,2005,Octubre,Línea 7,NaN
2005-10-06,2005,Octubre,Línea 1,279064
2005-10-06,2005,Octubre,Línea 2,NaN
2005-10-06,2005,Octubre,Línea 3,NaN
2005-10-07,2005,Octubre,Línea 1,165978
2005-10-07,2005,Octubre,Línea 2,NaN
2005-10-07,2005,Octubre,Línea 5,NaN
2005-10-07,2005,Octubre,Línea 6,NaN
2005-10-07,2005,Octubre,Línea 3,NaN
2005-10-07,2005,Octubre,Línea 4,NaN
2005-10-07,2005,Octubre,Línea 7,NaN
2005-10-08,2005,Octubre,Línea 4,NaN
2005-10-08,2005,Octubre,Línea 5,NaN
2005-10-08,2005,Octubre,Línea 3,NaN
2005-10-08,2005,Octubre,Línea 6,NaN
2005-10-08,2005,Octubre,Línea 7,NaN
2005-10-08,2005,Octubre,Línea 1,146811
2005-10-08,2005,Octubre,Línea 2,NaN
2005-10-09,2005,Octubre,Línea 7,NaN
2005-10-09,2005,Octubre,Línea 2,NaN
2005-10-09,2005,Octubre,Línea 5,NaN
2005-10-09,2005,Octubre,Línea 6,NaN
2005-10-09,2005,Octubre,Línea 1,115198
2005-10-09,2005,Octubre,Línea 4,NaN
2005-10-09,2005,Octubre,Línea 3,NaN
2005-10-10,2005,Octubre,Línea 5,NaN
2005-10-10,2005,Octubre,Línea 3,NaN
2005-10-10,2005,Octubre,Línea 7,NaN
2005-10-10,2005,Octubre,Línea 6,NaN
2005-10-10,2005,Octubre,Línea 4,NaN
2005-10-10,2005,Octubre,Línea 1,267690
2005-10-10,2005,Octubre,Línea 2,NaN
2005-10-11,2005,Octubre,Línea 1,201420
2005-10-11,2005,Octubre,Línea 2,NaN
2005-10-11,2005,Octubre,Línea 5,NaN
2005-10-11,2005,Octubre,Línea 6,NaN
2005-10-11,2005,Octubre,Línea 7,NaN
2005-10-11,2005,Octubre,Línea 4,NaN
2005-10-11,2005,Octubre,Línea 3,NaN
2005-10-12,2005,Octubre,Línea 6,NaN
2005-10-12,2005,Octubre,Línea 3,NaN
2005-10-12,2005,Octubre,Línea 5,NaN
2005-10-12,2005,Octubre,Línea 7,NaN
