fecha,mes,anio,linea,tipo_pago,afluencia
2021-01-17,Enero,2021,Línea 5,Prepago,59845
2021-01-17,Enero,2021,Línea 5,Gratuidad,6616
2021-01-17,Enero,2021,Línea 6,Prepago,50428
2021-01-17,Enero,2021,Línea 6,Gratuidad,3392
2021-01-17,Enero,2021,Línea 7,Prepago,46231
2021-01-17,Enero,2021,Línea 7,Gratuidad,867
2021-01-18,Enero,2021,Línea 1,Prepago,296673
2021-01-18,Enero,2021,Línea 1,Gratuidad,14322
2021-01-18,Enero,2021,Línea 2,Prepago,105022
2021-01-18,Enero,2021,Línea 2,Gratuidad,7379
2021-01-18,Enero,2021,Línea 3,Prepago,104114
2021-01-18,Enero,2021,Línea 3,Gratuidad,8432
2021-01-18,Enero,2021,Línea 4,Prepago,54700
2021-01-18,Enero,2021,Línea 4,Gratuidad,2461
2021-01-18,Enero,2021,Línea 5,Prepago,91462
2021-01-18,Enero,2021,Línea 5,Gratuidad,10448
2021-01-18,Enero,2021,Línea 6,Prepago,96162
2021-01-18,Enero,2021,Línea 6,Gratuidad,8078
2021-01-18,Enero,2021,Línea 7,Prepago,108214
2021-01-18,Enero,2021,Línea 7,Gratuidad,1342
2021-01-19,Enero,2021,Línea 1,Prepago,287101
2021-01-19,Enero,2021,Línea 1,Gratuidad,13634
2021-01-19,Enero,2021,Línea 2,Prepago,105142
2021-01-19,Enero,2021,Línea 2,Gratuidad,7037
2021-01-19,Enero,2021,Línea 3,Prepago,103798
2021-01-19,Enero,2021,Línea 3,Gratuidad,7843
2021-01-19,Enero,2021,Línea 4,Prepago,53972
2021-01-19,Enero,2021,Línea 4,Gratuidad,2503
2021-01-19,Enero,2021,Línea 5,Prepago,96071
2021-01-19,Enero,2021,Línea 5,Gratuidad,10035
2021-01-19,Enero,2021,Línea 6,Prepago,92673
2021-01-19,Enero,2021,Línea 6,Gratuidad,7984
2021-01-19,Enero,2021,Línea 7,Prepago,102480
2021-01-19,Enero,2021,Línea 7,Gratuidad,1389
2021-01-20,Enero,2021,Línea 1,Prepago,289947
2021-01-20,Enero,2021,Línea 1,Gratuidad,13310
2021-01-20,Enero,2021,Línea 2,Prepago,104972
2021-01-20,Enero,2021,Línea 2,Gratuidad,6814
2021-01-20,Enero,2021,Línea 3,Prepago,103962
